zh,en
然后，他开始模仿 1989 年热门电影《探戈与现金》中的特朗普，但自己很快便忍俊不禁。,"He then began mimicking Trump with a riff on hit 1989 movie ""Tango & Cash,"" but soon descended into a fit of the giggles."
但沙特目前缺乏基础设施，无法容纳如此多的游客，官员估计，未来十年，全国将需要新增 50 万间酒店客房。,"But the kingdom currently lacks the infrastructure to accomodate visitors in such high numbers, with officials estimating 500,000 new hotel rooms will be required nationwide over the coming decade."
新法律自 1 月 1 日起生效，要求警察只有在应对对警察或周围人员的致命威胁的“必要时刻”，才能使用致命武力。,"The new law, which takes effect Jan. 1, will allow police to use deadly force only when ""necessary"" to defend against an imminent threat of death or serious injury to officers or bystanders."
这名男子被严重烧伤，目前在医院，情况危急但稳定。,He is in hospital in a critical but stable condition after suffering serious burns.
这些信是邮寄给她患有自闭症住在私人护理院的儿子的，她解释说。但拆开信件，信里未提及她儿子的名字，而是说“尊敬的缅因州卫生与公众服务部——辛辛那提”，她告诉当地媒体。,"They were addressed to her son, who has autism and lives in a private care facility, she said. But instead of her son's name inside when you opened them, the letters said Dear Maine's Department of Health and Human Services -- in Cincinnati, she told local media."
联邦调查人员检查了相关证据，包括目击证人证言、现场视频与录音、出警记录、警察报告和尸检报告，用于判断当事警察是否故意使用超过客观合理限度的武力。,"The federal investigation looked at evidence such as witness statements, audio and video recordings, dispatch records, police reports, and autopsy reports to determine whether the officers acted willfully with the intent to use objectively unreasonable force."
通常原油出口前要进行检验，保证其符合接收该原油的炼油厂的标准。不同油田出产的原油可以根据一系列化学成分加以识别，包括硫含量、氮含量、酸度以及粘度。,"Crude oil is tested before export to make sure it complies with the standards of the refinery it is being shipped to. Crude oil from different fields can be identified according to a series of chemical signatures, including levels of sulfur and nitrogen, acidity and viscosity."
"“红矮星释放的能量更少，因此辐射出的光芒也十分微弱，它们的表面温度也很低，大约在 3,800（度）开尔文（6,380 华氏度/3,527 摄氏度）以下。这也解释了红矮星为什么是微红色的，”莫拉莱斯说道。","""They emit less energy, so they are fainter than the sun, and their surface temperature is rather cool, below 3800 (degrees) Kelvin (6,380 degrees Fahrenheit/3,527 Celsius) approximately. This is why the have a reddish color,"" Morales said."
今年，现役军人中的自杀率飙升至历史新高，这种形势的延续非常致命，五角大楼官员表示，情况令人沮丧，目前正在积极应对。,"Military suicides surged this year to a record high among active duty troops, continuing a deadly trend that Pentagon officials say is frustrating and they are struggling to counter."
他补充说：“这支部队没有一贯公平和尊重员工，也没有有效地与员工沟通或理解员工；流程被认为不公平，而且对员工的理解不足，无法支持员工。”,"He added: ""It doesn't consistently treat its workforce with fairness and respect and it doesn't effectively communicate with or engage its workforce; its processes aren't perceived to be fair and it doesn't understand its workforce well enough to support them."""
电台主持人赛斯·丹拉普曾说过，他在一个恐同且充满敌意的环境中工作多年。在声称收到电台推特账户发来的反同诽谤推文后，他威胁要起诉。,"Radio host Seth Dunlap claimed he worked in a homophobic and hostile workplace for years. After allegedly receiving a tweet with an anti-gay slur from the radio station's Twitter, he threatened to sue."
苏格兰民族党已表示可能会支持杰里米·科尔宾出任英国首相府的临时首相，以阻挠无协议脱欧。,The SNP has signalled it could support installing Jeremy Corbyn in Downing Street on a temporary basis to thwart a no-deal Brexit.
鲁昂一家润滑油厂在星期四失火，未有人员受伤，但附近塞纳河两岸的居民对潜在的健康风险和后果表示了担忧。,"No one was injured in Thursday's fire at a lubricant plant in Rouen, but residents have expressed concern about possible health risks and consequences for the nearby Seine River."
备受低油价影响，政府表示，希望到 2030 年，旅游业对国内生产总值的贡献率能达到 10% ，而目前只有 3% 。,"The government, reeling from low oil prices, says it hopes tourism will contribute up to 10 percent of the gross domestic product by 2030, compared to three percent currently."
香港警方称抗议活动中学生被捕人数增加,Hong Kong police say student arrests at protests increase
沃尔特被指控是另一名男子卡梅伦·佩蒂特的药品来源，该男子曾把药物卖给米勒。,"Walter is accused of being the source of the pills that another man, Cameron Pettit, sold to Miller."
在目前的宇宙中，星系团可以包含数百个星系，但这些星系团是如何形成的在天文领域仍是一大疑问。为了了解星系团的形成，天文学家寻找古代宇宙中可能的起源。原星系团是早期宇宙中由数十个星系组成的稠密系统，并逐渐形成一个星系团。,"In the present Universe, galaxy clusters can contain hundreds of members, but how these clusters form is a big question in astronomy. To understand the formation of clusters, astronomers search for possible progenitors in the ancient Universe. A protocluster is a dense system of dozens of galaxies in the early Universe, growing into a cluster."
只要德·格罗德继续服药，再犯罪的风险就不会很大，那么人们为什么这么担心呢？我认为，人们对精神病患者，特别是精神分裂症患者的污名，很大程度上导致了这种恐惧。某些精神疾病已经变得不那么可怕了，比如情绪和焦虑障碍。但其他疾病，包括精神分裂症，仍然被高度污名化。这在很大程度上是因为许多人把精神分裂症患者描绘成危险人物，他们的脑袋里有声音告诉他们要杀人。,"As long as de Grood continues to take his medication, there isn't a huge risk of reoffense, so why are people so concerned? I believe the stigma surrounding people with mental illness, particularly those with schizophrenia, largely influences this fear. Certain mental illnesses have become less stigmatized, such as mood and anxiety disorders. But others, including schizophrenia, remain highly stigmatized. This is in large part due to numerous portrayals of schizophrenics as dangerous people with voices in their heads telling them to kill people."
如果发生更严重的扰动，电网也会发生波动。提供导航信息的卫星信号也会很弱。,"In case of more severe disturbances, there are also fluctuations in the electricity grid. Satellites providing navigation information are also vulnerable."
"养老保护基金的一位发言人表示：""一些破产事件的发生，比如托马斯·库克的破产，正是养老保护基金成立的原因。","A PPF spokesperson said: ""Insolvency events, like the liquidation of Thomas Cook, are exactly why the PPF was set up."
五角大楼星期四宣布，由于本月初沙特石油设施遭到袭击，美国计划向沙特调派一枚爱国者导弹电池、雷达系统和大约 200 名支持人员。,"The Pentagon on Thursday announced that the U.S. will send a Patriot missile battery, radars and roughly 200 support personnel to Saudi Arabia in the wake of the attacks on its oil facilities earlier this month."
这些信都是有关联合健康保险投保范围外 54 或 0 美元的索赔，雷女士说。,"The letters were about a $54 or $0 healthcare claim that United Healthcare said is not covered, Lay said."
意大利选手法比奥·法尼尼在星期六输给美国选手坦尼斯·桑德格伦第三轮比赛后说了句“应该在网球场上引爆炸弹”，因而被罚款 3000 美元。,"Italian player Fabio Fognini was fined $3,000 for saying a ""bomb should explode"" at the tennis courts after he lost the third round to U.S. player Tennys Sandgren on Saturday."
官方消息称，根据《基本规则》第 56（J）条，负责监督商品及服务税和进口税征收的中央间接税和海关委员会因腐败和其它指控，强制要求 15 名高级官员退休。,"The Central Board of Indirect Taxes and Customs (CBIC) -- the agency that oversees GST and import tax collections -- compulsorily retired 15 senior officers under Fundamental Rule 56 (J) on corruption and other charges, official sources said."
在 2009 年，母亲鲁比和另一只名叫南希的雌性动物加入了野生动物公园，希望与蒙蒂生下公园里的第一只小犀牛。,Mother Ruby joined the wildlife park in 2009 alongside another female called Nancy in the hope that one would produce the park's first ever calf with Monty.
报道称，该公司正在接受西班牙高等法院的调查。,"The company is being investigated over the claims by Spain's High Court, the Audiencia Nacional, said the report."
“我们为养老金固定收益计划成员的未来提供金融保障，计划成员应该放心，我们是会保护他们的。”,"""We are here to protect the financial futures of members belonging to defined benefit pension schemes and they should take comfort knowing we are here to protect them."""
碧翠斯公主的父母安德鲁王子和莎拉·弗格森也表达了他们的兴奋之情。,"Princess Beatrice's parents, Prince Andrew and Sarah Ferguson, also shared their excitement."
经纪人呼吁大家不要相信社交网络和世界各地黄色杂志上“泄漏”的任何照片。,"The manager urged not to believe in any photos that ""leak"" on social networks and in yellow magazines around the world."
美国总统唐纳德·特朗普提名彼得·盖纳出任联邦紧急事务管理署署长，白宫在一份声明中表示。,"U.S. President Donald Trump nominated Peter Gaynor on Thursday to head the Federal Emergency Management Agency (FEMA), the White House said in a statement."
众议院主席警告特朗普停止攻击告密者,House chairmen warn Trump to stop attacking whistleblower
但是，自由民主党认为，科尔宾先生领导之下的临时政府需要获得前保守党国会议员和本党叛徒的支持，因此无法在众议院获得必要的支持。,"However the Liberal Democrats believe a temporary government led by Mr Corbyn cannot achieve the necessary support across the House, as he would need the backing of ex-Tory MPs and defectors from his own party."
托马斯·库克到底出了什么问题?,What went so wrong for Thomas Cook?
弗吉尼亚州的一名黑人中学生指控三名白人男孩困住了她并剪断了她的辫子。该事件发生在以马内利基督学校，副总统迈克·彭斯的夫人凯伦·彭斯在该学校任教。,"A black middle school student from Virginia is accusing three white boys of pinning her down and cutting off her dreadlocks. The incident took place at Immanuel Christian School - where Vice President Mike Pence's wife, Karen Pence, is a teacher."
7 月 19日，因这艘船涉嫌违反国际海事法在霍尔木兹海峡进入伊朗水域，伊朗革命卫队将其扣押。,The ship was captured by the Iranian Revolutionary Guard Corps on July 19 for having violated international maritime law when it allegedly veered into Iranian waters in the Strait of Hormuz.
自从 3 月布罗克·朗辞职后，该机构尚无参议院批准的负责人。管理署的上级部门 - 国土安全部认定朗违规使用公车，用于往返华盛顿和他在北卡罗来纳州的住所，随后朗辞任署长一职。,"The agency has been without a Senate-confirmed administrator since March, when Brock Long left the post. Long resigned after the Department of Homeland Security, under which FEMA falls, concluded Long had inappropriately used government vehicles to commute between Washington and his home in North Carolina."
克利夫兰警方在各个方面都被检查人员标签为“失败”,Cleveland police branded 'failing' in all areas by inspectors
沙特阿拉伯首次提供旅游签证，废除阿巴亚长袍规定,"Saudi Arabia To Offer Tourist Visas For First Time, Abolish Abaya Rule"
戈姆莱补充道：“该部队没有适当地优先考虑预防犯罪。缺乏战略方向且部队分配给防御工作的资源不足......未能对儿童等弱势群体给与适当保护。失去了保护他们的机会并使他们面临风险。”,"Gormley added: ""The force doesn't appropriately prioritise crime prevention. There is a lack of strategic direction, and the force doesn't allocate enough resources to prevention work ... It is failing to respond appropriately to vulnerable people, including children. It is missing opportunities to safeguard them and exposing them to risk."""
该咨询于星期五在政府网站上发布，内容如下：“统一有效执法是解决苏格兰相关失控犬问题的关键所在。,"The consultation, launched on the Government's website on Friday, says: ""Effective and consistent enforcement across Scotland is fundamental in helping address issues relating to out-of-control dogs."
来自宾夕法尼亚州的民主党众议员马特·卡特赖特告诉美国有线电视新闻网，目前他不会投票支持弹劾条款。,"Rep. Matt Cartwright, a Democrat from Pennsylvania, told CNN that he wouldn't -- at this point -- vote for articles of impeachment."
7 月份，该委员会的议员得出结论，认为目前的养狗法与目的不切合，呼吁苏格兰政府对所有的养狗法进行全面审查。,"In July, the committee's MSPs concluded current dog control legislation is not fit for purpose and called on the Scottish Government to undertake a comprehensive review of all dog-control laws."
阿玛丽没有把这件事告诉家人，直到她奶奶发现她的头发变短了。,Amari didn't tell her family about the incident until after her grandmother noticed the length of her hair had changed.
他们也承认，服役人员不愿主动寻求帮助，因为他们担心这会影响升职或安全检查。军方领导人表示，他们都必须更加刻苦努力，去解决那些被视为阻碍发展的问题。,"They also acknowledged that service members are reluctant to come forward and seek help, because they worry that it could affect promotions or security clearances. And military leaders said they must all work harder to address those perceived roadblocks."
斯柯达为驾驶员提供语音数字助理,Skoda to provide drivers with voice activated digital assistant
据伊朗国家通讯社报道，伊朗港口和海事管理局证实：这艘名为斯坦纳·安普里奥的油轮已于上午 9 点离开阿巴斯港。,"Iranian Ports and Maritime Administration confirmed that the vessel, Stena Impero, left Bandar Abbas port at 9 a.m., the state-run IRNA reported."
这家世界最大的咖啡公司在星期五的一份声明中表示，公司发现草甘膦残留量接近一些绿色咖啡豆产品中草甘膦残留最高限量。,The world's largest coffee company said in a statement Friday that it had found glyphosate residues close to the maximum allowed in some deliveries of green coffee beans.
但这并没有阻止成千上万的人士对孟山都公司提起诉讼，他们声称因接触了农达导致他们或他们的亲人罹患癌症。,But that has not stopped thousands of people from filing lawsuits against Monsanto alleging that exposure to Roundup caused them or their loved ones to develop cancer.
皮克维尔的加兰·兰卡斯特告诉北卡罗莱纳教育彩票官员，当他在皮克维尔的威萨姆兄弟公司逗留时，他用自己的五组号码买了五张现金彩票，可在星期一晚上进行五次抽奖。,Add Lancaster of Pikeville told North Carolina Education Lottery officials he used five sets of his own numbers to buy a Cash 5 ticket with five plays for Monday night's drawing when he stopped at Wissam & Brothers Inc. in Pikeville.
天空新闻获悉，托管机构主席史蒂夫索·斯特正与几家公司就一项买断协议进行谈判，该协议将使托马斯·库克养老金计划的 1.4 万名的多数成员免于养老金支付的大幅减少。,"Sky News has learnt that Steve Southern, chair of the trustees, is holding talks with several parties about a buyout deal that would avoid most of Thomas Cook's 14,000 pension scheme members facing a steep cut to their payments."
距离蜘蛛侠僵局的终结已过去一个多月，据报道，当时两家公司无法就之前的电影《英雄归来》和《英雄远征》的续集达成协议。,"The end to the Spidey standoff came more than a month after it was reported the two studios were unable to reach terms on a deal for a sequel to their previous films, ""Homecoming"" and ""Far From Home."""
哈里斯县地方检察官金·奥格在一份声明中说：“我们感谢陪审员在过去几周里对案件中每一件证据的关注”。“毫无疑问，哈斯克尔精心策划并实施了屠杀斯塔全家的行动。”,"""We are grateful for the jurors' rapt attention over the last many weeks to every piece of evidence in the case,"" Harris County District Attorney Kim Ogg said in a statement. ""There was never a reasonable doubt that Haskell meticulously planned and carried out the slaughter of the Stay family."""
资深国会议员哈里特·哈曼和肯·克拉克均已被提名为领导联合政府的潜在人选，但苏格兰民族党的资深消息人士坚称必须是工党领袖才行。,Veteran MPs Harriet Harman and Ken Clarke have both been named as potential figures to lead a unity government but a senior SNP source insisted it had to be the Labour leader.
西班牙《国家报》的一篇报道称，西班牙私人安保公司涉嫌向美国中央情报局提供阿桑奇与其律师会面的音频和视频。,"A report in Spanish newspaper El Pais said the company, UC Global SL, allegedly handed over audio and video to the CIA of meetings Assange held with his lawyers."
消息人士说，这一行动符合莫迪总理在红堡向全国发表的讲话，当时莫迪曾表示，税务部门的一些害群之马可能滥用权力，骚扰纳税人，要么针对诚实的评估对象，要么对轻微或程序性违规行为采取过度行动。,"Sources said the action was in line with Prime Minister Narendra Modi's address to the nation from the ramparts of the Red Fort when he had said some black sheep in the tax administration may have misused their powers and harassed taxpayers, either by targeting honest assesses or taking excessive action for minor or procedural violations."
在这位加州民主党人发表上述言论之前，一名不愿透露姓名的情报官员周四向美国情报机构监察长迈克尔·阿特金森提交了这份起诉书。阿特金森把它交给了国家情报总监约瑟夫·马奎尔。,"The California Democrat's words follow a release of the complaint Thursday, which was submitted by an unidentified intelligence official to Intelligence Community Inspector General Michael Atkinson. Atkinson turned it over to national intelligence director Joseph Maguire."
哈里斯郡陪审团裁定，现年 39 岁的罗纳德·哈斯克尔于 2014 年 7 月杀害斯塔家庭 6 名成员的罪名成立：包括父母斯蒂芬·斯塔和凯蒂·斯塔，孩子 13 岁的布赖恩、 9 岁的埃米莉、7 岁的丽贝卡和 4 岁的扎克。,"A Harris County jury found Ronald Haskell, 39, guilty in the July 2014 killings of six members of the Stay family: parents Stephen Stay and Katie Stay, and children Bryan, 13, Emily, 9, Rebecca, 7 and Zach, 4."
金特罗对组织杀害多名人权活动家和社区领袖负有责任，该声明补充道。,"Quintero was responsible for the killings of human rights activists and community leaders, the statement added."
这位公爵夫人和哈里王子目前正携爱子阿尔奇·哈里森·蒙巴顿-温莎进行为期 10 天的南非皇家之旅，本周早些时候，他们已参加一场青年招待会，并与奥巴马基金会领导人会面。,"The duchess and Prince Harry, now on a 10-day royal tour of South Africa with their baby son Archie Harrison Mountbatten-Windsor, attended a youth reception earlier this week and met Obama Foundation leaders."
使用方便,Easy use
在 2014 年为家人举行的追悼会上，卡西迪感谢社会各界的支持，并表示父母、两个兄弟和两个姐妹“在天堂，总有一天能再见到他们，她感到很欣慰。”,"At a 2014 memorial for her family, Cassidy thanked the community for its support and said that she was comforted knowing her parents, two brothers and two sisters are ""in a much better place, and that I'll be able to see them again one day."""
据报道，为了登上头条新闻，他会戴上口罩，并在自己的鼻子上贴上胶带，以引发热议。,"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation."
一位消息人士称：“特里斯坦和德雷克是好朋友，在他计划追回卡戴珊的时候，他一直在询问德雷克的建议。,"A source said: ""Tristan is good pals with Drake and has been using him as a sounding board as he plots his return to the Kardashian fold."
“她们一直责备父亲放任这种事情发生，尤其是碧翠斯一直恳求安德鲁王子不要把她们的母亲当作被驱逐的人一样对待。”,"""They are constantly berating their father for allowing it to happen and Beatrice in particular has been imploring Prince Andrew to see that their mother is not treated as an outcast."""
但波罗申科期望特朗普政府如何在今年 3 月和 4 月举行的两轮乌克兰总统选举之前帮助他扭转颓势，目前尚不清楚。无论如何，他都受到了重击，惨败给了泽伦斯基，后者手下的官员很快成为特朗普团队着手打击拜登的新目标。,"How Mr. Poroshenko expected the Trump administration to help lift his sagging fortunes ahead of Ukraine's presidential election, held in two rounds in March and April this year, is unclear. He got trounced anyway, losing emphatically to Mr. Zelensky, whose own officials quickly became the Trump team's new targets in its drive to damage Mr. Biden."
1 名中国维权人士在举牌要求中国领导人习近平下台以后被捕并遇难，多名维权人士呼吁彻查其真实死因。,"Human rights advocates are calling for an investigation into the death of a Chinese activist, arrested after holding up a placard calling for Chinese leader Xi Jinping to step down."
这只名叫斯特拉的宝宝于本月初在牛津郡的科茨沃尔德野生动物园出生，它是蒙蒂和鲁比所生的第一个雌性宝宝。,"Baby Stella was welcomed into the world at Cotswold Wildlife Park, Oxfordshire, earlier this month and is the first female born to parents Monty and Ruby."
星期四，SBD Automotive 公司的高级联网汽车专家杰克·帕尔默通过电子邮件向 CNBC 频道发送了一份声明，他在声明中说：“语音是汽车理想的交互工具。”,"""Voice is the ideal interaction tool in the vehicle,"" Jack Palmer, a senior connected car specialist at SBD Automotive, said in a statement sent to CNBC via email on Thursday."
“游客将赞叹......我们分享的珍宝——五个联合国教科文组织世界遗产地、充满活力的当地文化和令人叹为观止的自然美景。”,"""Visitors will be surprised... by the treasures we have to share -- five UNESCO World Heritage Sites, a vibrant local culture and breathtaking natural beauty."""
首先，让我们看看较为悲观的一面。德·格罗德确实在精神病发作期间捅死了 5 个人。这是一次不可预测的暴力袭击。他患有精神分裂症，这就是为什么他被裁定不负刑事责任，但此后一直在看精神病医生和服用药物。他的精神科医生桑托克·雷曾在审查委员会面前表示，“如果马修·德·格罗德再次犯法，那将后果严重。” 尽管他感觉有进步，但仍有再次攻击他人的风险。但这个理由足以令人继续害怕吗？这个理由足够把德格罗德关起来吗？,"First, let's examine the more pessimistic side. De Grood did stab and kill five people during a psychotic break. It was a violent and unpredictable attack. He suffers from schizophrenia, which is why he was found not criminally responsible, but has since been seeing a psychiatrist and taking his medication. His psychiatrist, Dr. Santoch Rai, has said in front of the review board that ""if Matthew de Grood were to commit another offence, it would be severe."" Despite his perceived improvement, there is still risk of re-offense. But is this reason enough to remain afraid? Is it enough to keep de Grood locked up?"
科尔宾先生呼吁保守党叛徒和反对党议员在八月支持他领导临时政府，但此举遭到了抵制，尤其是来自自由民主党领袖乔·斯温森的抵制。,"Mr Corbyn called on rebel Tories and opposition MPs to back him to lead a temporary administration in August - but the move was met with resistance, particularly from the Liberal Democrat leader Jo Swinson."
而他的律师梅根·基弗说，他决定参加测谎，从而打消有关他本人就是发推者的猜测。根据 WWL-TV 的报道，丹拉普还未提起诉讼，但他在声明中表示很快会着手进行。,"However, he decided to take a polygraph test to dispel any speculation that he was the one who sent the tweet to himself, his lawyer Megan Kiefer, said. A lawsuit has not yet been filed on Dunlap's behalf, but he said in his statement that one would be coming, according to WWL-TV."
"政府将安排大约 100,000 名安保人员守卫投票站，以应对塔利班势力的威胁。","About 100,000 security personnel are to guard polling stations in the wake of Taliban threats."
"油污在巴西东北部沿海蔓延，总长度超过 1,500 公里（932 英里），对当地野生动物造成了影响，并且污染了该国多处热门旅游胜地中风景如画的海滩，包括塞阿拉州的福特诺海滩，以及阿拉戈斯州的马拉戈日海滩。","The spill spans over 1,500 kilometers (932 miles) of Brazil's northeast coast, affecting wildlife and polluting some of the postcard beaches in one of the nation's top touristic destinations, such as Praia do Futuro, in the state of Ceara, and Maragogi, in Alagoas state."
警 方 9 月 13 日在该监狱拘捕一名四十岁左右的男子，该男子涉嫌不当公职的阴谋行为。这名男子来自伦敦西南部，在政府设施服务有限公司工作，该公司为英国南部 52 所监狱提供维护服务。,"Police arrested a 40-year-old man at the jail on suspicion of conspiracy to commit misconduct in a public office on September 13. The man, from South West London, was working for the Government Facility Services Ltd, which maintains 52 jails across the south of the country."
当参议员伊丽莎白·沃伦（马萨诸塞州民主党人） 8 月份从两个经营柠檬汽水摊的女孩那里购买饮料时，她可能还没有意识到，她购买的 10 美元将捐赠给一家反堕胎慈善机构。,"When Sen. Elizabeth Warren (D., Mass.) purchased drinks from two girls running a lemonade stand in August, she may not have been aware that her $10 purchase would be donated to a pro-life charity."
列举了学院将要开展的其他活动，查特吉先生说，将出版一本迄今不为人知的维迪亚萨加著作集。,"Listing other activities to be taken up by the academy, Mr Chatterjee said that a collection of hitherto unknown writings by Vidyasagar will be published."
星期日，抗议者还将在香港和全球许多城市组织“反极权主义”集会，反对他们所谴责的中国暴政。,"Protesters are also organizing ""anti-totalitarianism"" rallies in Hong Kong and many cities worldwide on Sunday against what they denounced as China's tyranny."
1997 年 1 月 15 日，威尔士王妃戴安娜身穿防护背心和面罩，在安哥拉万博省走访了一片被光环信托慈善组织清理过的雷区。,"Wearing protective body armor and a visor, Diana, Princess of Wales, visits a minefield being cleared by the charity Halo in Huambo, Angola, January 15, 1997."
草甘膦会致癌吗？,Does glyphosate cause cancer?
维奥拉·戴维斯对扮演米歇尔·奥巴马感到有些压力。,Viola Davis is feeling the pressure of playing Michelle Obama.
“我们两人都有儿子，并且我们要记住我们不仅是女孩的榜样，而且是男孩的榜样，不仅是我们的儿子，而且还包括大众。”,"'We both have sons, and we were bearing in mind that we are not just role models for girls but boys - and not just our sons, but generally in public too.'"
星期四是彻底消除核武器国际日，但消除核武器这一目标似乎越来越难以实现。,"Thursday marks the International Day for the Total Elimination of Nuclear Weapons, but it's a goal that looks increasingly less likely."
几何图形也可以用于新的建筑设计和建筑施工。,The geometries could be also used in new architectural designs in buildings and construction.
政府表示，在应对高企的青年失业率之际，旅游业有望创造多达 100 万个旅游业就业岗位。,"The sector is expected to create up to one million tourism jobs, the government says, as it battles high youth unemployment."
据科罗拉多州立大学的气象学家菲利普·克劳斯巴赫称，自 8 月 21 日以来，西半球（包括大西洋和东太平洋盆地）已经产生了 16 个命名风暴。,"According to Colorado State University Meteorologist Philip Klotzbach, the Western Hemisphere, which encompasses the Atlantic and eastern Pacific basins, has generated 16 named storms since Aug. 21."
与此同时，有消息称，与雾化产品相关的疾病又夺去了两条人命，死亡人数达到 11 人。,"It comes as it emerged a vaping-related illness had claimed two more lives, bringing the total number of fatalities to 11."
“欧洲烟草产品指令限制电子香烟的广告，并确保电子液体不能含有已知有害成分。,"""The European tobacco products directive restricts the advertising of e-cigarettes and ensures that e-liquids cannot contain ingredients that are known to be harmful."
波罗申科渴望赢得特朗普总统的支持，前者越来越担忧政治对手会阻挠自己连任，这为朱利安尼肃清了道路，他可以向乌克兰总检察长尤里·卢岑科（后来被解职）施压，要求调查乔·拜登和他的儿子，为特朗普连任助一臂之力。,"Mr. Poroshenko's eagerness to win over Mr. Trump and his growing fears that political rivals would thwart his re-election opened the way for Mr. Giuliani to press Ukraine's prosecutor general, Yuri Lutsenko, who has since been fired, to help Mr. Trump's own re-election by investigating Joe Biden and his son."
据报道，现年 38 岁的萨塞克斯公爵夫人本周早些时候在与丈夫哈里王子访问南非期间，在开普敦伍德斯托克交易所的一次激励女性企业家的活动中发表了上述言论。,"The Duchess of Sussex, 38, reportedly made the remarks during an event for inspiring female entrepreneurs at Woodstock Exchange in Cape Town earlier this week during her tour of South Africa with husband Prince Harry."
国家飓风中心时间晚上 11 点，飓风眼位于亚速尔群岛西南约 1660 英里处。东部夏令时间更新。风暴以每小时 14 英里的速度向西北偏北方向移动，最大持续风速为每小时 145 英里。,"The eye of the major hurricane was about 1,660 miles southwest of the Azores in the NHC's 11 p.m. EDT update. The storm was moving north-northwest at 14 mph with 145 mph maximum sustained winds."
房屋被淹，人们在被齐膝深洪水淹没的街上涉水前行，这通常是只有在季风最盛的时候才能看到的景象。,Homes were flooded and people waded through streets with water up to their knees in scenes normally seen only at the height of the monsoon.
星期四，还有一名孟菲斯市的妇产科医生为该州作证，他加入了一个极具争议的网络组织，该组织试图阻断堕胎药效。英国博士指出，通过这项工作他“亲身接触了改变堕胎主意的女性”。,"Thursday also included testimony for the state from a Memphis obstetrician and gynecologist who participates in a controversial network that attempts to halt the effects of abortion-inducing medication. Dr. Michael Podraza said that through that work he has ""personal experience with women who have changed their minds about an abortion."""
卡西迪受伤后一直装死，直到哈斯克尔离开，并能向警方指认他。她告诉警察，他正计划开车去她祖父母家杀死他们。但警方追查到哈斯克尔的行踪，经过 20 分钟的警方追捕和 3 小时的对峙，他被捕。,"Cassidy, who was wounded, played dead until Haskell left, and was able to identify him to police. She told officials he was planning to drive to her grandparents' home and kill them. But police tracked down Haskell, and he was arrested after a 20-minute police chase and a three-hour standoff."
9 月 14 日，全球最大的原油加工厂和油田发生罢工，迫使沙特关闭了一半的生产业务。因此次无人机袭击事件，原油价格发生了数十年来最大幅度的飙升，并再次引发人们对中东地区爆发冲突的担忧。尽管各国广泛认为德黑兰应该为此次袭击事件负责，但伊朗方面始终坚称并未参与其中。,"The Sept. 14 strikes on the world's largest crude-processing plant and oil field forced Saudi Arabia to shut down half of its production operations. The drone attacks triggered the largest spike in crude prices in decades and renewed concerns of a budding conflict in the Middle East. While Tehran has been widely blamed for the attacks, it maintains that it was not involved."
去年 10 月，在尤吉尼公主和杰克·布鲁克斯班克的婚礼上，菲利普和莎拉被拍到 26 年来第一次在一起合影。,Philip and Sarah were pictured for the first time together in 26 years at Princess Eugenie's wedding to Jack Brooksbank last October.
继除草剂恐慌之后雀巢加强咖啡豆控制,Nestle tightens controls on coffee beans after weedkiller scare
佩洛西于 3 月 13 日提出《平权法案》。众议院于 5 月通过立法。法案尚未被提交到参议院。,Pelosi introduced the Equality Act on March 13. The House passed the legislation in May. It has not yet been brought to the Senate floor.
威廉姆斯正在角逐第八个温网冠军头衔，届时她将迎来第 24 个大满贯。在星期四的单打半决赛中，她将与捷克选手巴博拉·斯特里科娃对阵。,"Williams is after her eighth Wimbledon title, which would be her 24th grand slam victory. She is advancing to the singles semifinals on Thursday against Czech player Barbora Strýcová."
在与女性科技创办人对话中，梅根大力倡导赋能年轻女性和女孩，表示希望也赋能年轻男性。,"During a conversation with the female tech founders Meghan, who has campaigned vigorously for the empowerment of young women and girls, said she hopes to do the same for young men."
年仅 16 岁，格蕾塔·通贝里就确立了自己在气候变化问题上全球代言人的地位。但 27 年前，早在社交媒体流行之前，另一个女孩就已经在世界舞台上斥责联合国领导人了。,"Greta Thunberg has established herself as the planet's spokeswoman on climate change at the tender age of 16. But long before social media, another teenager was scolding UN leaders on the world stage 27 years ago."
如果没有改进，则内政大臣可以介入以解决这个问题。,The home secretary could then step in to tackle the problem if no progress is made.
美国联邦航空局表示，全能国际航空一架飞机在宣布紧急情况后，安全降落在巴尔的摩华盛顿国际机场。,The Federal Aviation Administration says an Omni Air International jet landed safely at Baltimore Washington International Airport after declaring an emergency.
众议院议长南希·佩洛西指责美国司法部长威廉·巴尔周五在特朗普总统与乌克兰领导人的有争议的电话中“无赖地”保护了总统，这也引发了弹劾调查。,"House Speaker Nancy Pelosi accused U.S. Attorney General William Barr Friday of going ""rogue"" to protect President Donald Trump over his controversial phone call with Ukraine's leader, which has led to an impeachment inquiry."
《平权法案》将在信贷、教育、就业、住房、联邦财政援助、陪审服务和公共设施等方面向性少数群体个人提供非歧视性保护。,"The Equality Act would extend nondiscrimination protections to LGBTQ individuals in credit, education, employment, housing, federal financial assistance, jury service and public accommodations."
为什么需要重新分类疱疹病毒和寨卡病毒：生物技术的影响,Why viruses like Herpes and Zika will need to be reclassified: Biotech impact
